"Target","Source","Year","Weight"
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMPUTATIONAL STATISTICS & DATA ANALYSIS",2018,7
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMPUTATIONAL STATISTICS & DATA ANALYSIS",2019,4
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","COMPUTATIONAL STATISTICS & DATA ANALYSIS",2020,4
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","ELECTRONIC JOURNAL OF STATISTICS",2013,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","ELECTRONIC JOURNAL OF STATISTICS",2015,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","ELECTRONIC JOURNAL OF STATISTICS",2017,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","ELECTRONIC JOURNAL OF STATISTICS",2019,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","ELECTRONIC JOURNAL OF STATISTICS",2020,3
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","INTERNATIONAL STATISTICAL REVIEW",2017,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","INTERNATIONAL STATISTICAL REVIEW",2018,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","INTERNATIONAL STATISTICAL REVIEW",2019,3
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","INTERNATIONAL STATISTICAL REVIEW",2020,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF APPLIED STATISTICS",2012,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF APPLIED STATISTICS",2014,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF APPLIED STATISTICS",2015,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF APPLIED STATISTICS",2017,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF APPLIED STATISTICS",2018,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF APPLIED STATISTICS",2019,12
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF APPLIED STATISTICS",2020,3
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS",2017,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS",2018,3
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS",2020,4
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF MULTIVARIATE ANALYSIS",2011,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF MULTIVARIATE ANALYSIS",2013,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF MULTIVARIATE ANALYSIS",2014,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF MULTIVARIATE ANALYSIS",2015,4
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF MULTIVARIATE ANALYSIS",2016,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF MULTIVARIATE ANALYSIS",2017,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF MULTIVARIATE ANALYSIS",2018,4
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF MULTIVARIATE ANALYSIS",2019,6
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF MULTIVARIATE ANALYSIS",2020,5
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF NONPARAMETRIC STATISTICS",2017,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF NONPARAMETRIC STATISTICS",2020,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION",2014,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION",2016,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION",2017,6
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION",2018,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION",2019,2
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",2009,1
"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION","JOURNAL OF STATISTICAL PLANNING AND INFERENCE",2011,2
